names	x.pos	y.pos	color	S.name	S.annotation	S.mapman	S.cluster	S.direct/indirect	S.TF/Other	S.UP	S.DOWN	T.name	T.annotation	T.mapman	T.cluster	T.direct/indirect	T.TF/Other	T.UP	T.DOWN	NAC002	AtbZIP52	PIF3	MYB3	ZAT10	ERF055	VIP1	ERF014	NAC018	NAP	ANAC032	RGA	ATHB_21	ATHB_6	SVP	ABI5	IBH1	BRC1	ERF035	GBF2	PDF2	HSFB2B	TCX2	WRKY18	ABF3	ATHB_40	ZAT6	DREB2A	AtMYB56	ERF003	ORE1	HAT2	SPCH	OBP4	NAC102	ATHB_53	HEC1	indegree	outdegree	transitivity	closeness	betweenness	eccentricity
AT1G09530	776.377319335938	-1249.58337402344	#9900FF	PIF3	Transcription factor PIF3 [Source:UniProtKB/Swiss-Prot;Acc:O80536]	signalling.light	1C | -- | -- | -- | -- | -- | -- | -- | --	Direct	bHLH	NO	NO	PIF3	Transcription factor PIF3 [Source:UniProtKB/Swiss-Prot;Acc:O80536]	signalling.light	1C | -- | -- | -- | -- | -- | -- | -- | --	Direct	bHLH	NO	NO	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	14	17	0.468965517241379	0.295144398603618	9.99426924946811E-05	3
AT1G06850	1503.14749955666	36.8415756225586	#006600	AtbZIP52	basic leucine-zipper 52 [Source:TAIR;Acc:AT1G06850]	RNA.regulation of transcription.bZIP transcription factor family	-- | -- | 3C | -- | -- | -- | -- | -- | --	Indirect	bZIP	NO	NO	AtbZIP52	basic leucine-zipper 52 [Source:TAIR;Acc:AT1G06850]	RNA.regulation of transcription.bZIP transcription factor family	-- | -- | 3C | -- | -- | -- | -- | -- | --	Indirect	bZIP	NO	NO	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	173	0.02914740626605	0.326201332865661	0.000502924061211	3
AT1G07090	-196.906204223633	572.766397907635	#FF0033									LSH6	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMK2]	not assigned.unknown	-- | -- | -- | -- | 5C | -- | -- | -- | --	Direct	Other	YES	NO	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	14	0	0.714285714285714	0.001074113856069	0	3
AT1G11210	-776.587951660156	455.970092773438	#FF0033									AT1G11210	Protein of unknown function (DUF761) [Source:TAIR;Acc:AT1G11210]	not assigned.unknown	-- | -- | -- | -- | -- | 6B | -- | -- | --	Direct	Other	NO	NO	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	13	0	0.756410256410256	0.001074113856069	0	3
AT1G53180	1139.61279296875	-266.167541503906	#FF0033									AT1G53180	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 13 plant structures; EXPRESSED DURING: 6 growth stages; BEST Arabidopsis thaliana protein match /.../nknown protein (TAIR:AT3G15115.1); Has 58 Blast hits to 56 proteins in 22 species: Archae - 0; Bacteria - 0; Metazoa - 6; Fungi - 4; Plants - 29; Viruses - 0; Other Eukaryotes - 19 (source: NCBI BLink). [Source:TAIR;Acc:AT1G53180]	not assigned.unknown	-- | -- | 3B | -- | -- | -- | -- | -- | --	Direct	Other	NO	NO	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	19	0	0.672514619883041	0.001074113856069	0	3
AT1G56600	-1213.81494140625	451.337790970687	#FF0033									GOLS2	Galactinol synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FXB2]	minor CHO metabolism.raffinose family.galactinol synthases.known	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	NO	NO	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	13	0	0.705128205128205	0.001074113856069	0	3
AT1G69260	-1293.81530761719	571.337913040999	#FF0033									AFP1	Ninja-family protein AFP1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQ98]	not assigned.unknown	-- | -- | -- | -- | -- | 6C | -- | -- | --	Direct	Other	YES	NO	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	17	0	0.683823529411765	0.001074113856069	0	3
AT1G71970	1184.19864701759	-766.166198730469	#FF0033									AT1G71970	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown p /.../ (TAIR:AT1G22680.1); Has 58 Blast hits to 58 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 49; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink). [Source:TAIR;Acc:AT1G71970]	not assigned.unknown	-- | 2C | -- | -- | -- | -- | -- | -- | --	Direct	Other	NO	YES	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	14	0	0.791208791208791	0.001074113856069	0	3
AT2G42620	1663.36560058594	-1016.68469238281	#3399FF									MAX2	F-box protein MAX2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIM9]	protein.degradation.ubiquitin.E3.SCF.FBOX	-- | 2B | -- | -- | -- | -- | -- | -- | --	Indirect	Other	NO	NO	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	11	0	0.8	0.001074113856069	0	3
AT2G46270	-813.498718261719	364.414123535156	#9900FF									GBF3	G-box-binding factor 3 [Source:UniProtKB/Swiss-Prot;Acc:P42776]	RNA.regulation of transcription.bZIP transcription factor family	-- | -- | -- | -- | -- | 6B | -- | -- | --	Direct	bZIP	YES	NO	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	12	0	0.727272727272727	0.001074113856069	0	3
